06001,1638215
06003,1110
06005,37001
06007,225411
06009,44828
06011,21482
06013,1126745
06015,27254
06017,184452
06019,974861
06021,28017
06023,135727
06025,180191
06027,18260
06029,882176
06031,150965
06033,64591
06035,31345
06037,10170292
06039,154998
06041,261221
06043,17531
06045,87649
06047,268455
06049,8965
06051,13909
06053,433898
06055,142456
06057,98877
06059,3169776
06061,375391
06063,18409
06065,2361026
06067,1501335
06069,58792
06071,2128133
06073,3299521
06075,864816
06077,726106
06079,281401
06081,765135
06083,444769
06085,1918044
06087,274146
06089,179533
06091,2967
06093,43554
06095,436092
06097,502146
06099,538388
06101,96463
06103,63308
06105,13069
06107,459863
06109,53709
06111,850536
06113,213016
06115,74492
